DEC Region,Land Acquisition Category,County,Project Number,Project Name (Alias),Acres (Fee),Acres (Conservation Easement),Equivalent Stream Miles,Deed Vesting Date
1,TWA,Nassau,8.02,Jakebson's Shipyard,4.09,,,1997-08-05T00:00:00.000
8,FWL,Wayne,033.272A,Northern Montezuma,0.88,,,1997-08-11T00:00:00.000
8,FWL,Wayne,33.16,Northern Montezuma,11.97,,,1997-08-11T00:00:00.000
8,FWL,Wayne,33.179,Northern Montezuma,15.55,,,1997-08-11T00:00:00.000
8,FWL,Wayne,33.18,Northern Montezuma,15.76,,,1997-08-11T00:00:00.000
8,FWL,Wayne,33.282,Northern Montezuma,30.28,,,1997-08-11T00:00:00.000
8,FWL,Wayne,33.176,Northern Montezuma,35.21,,,1997-08-11T00:00:00.000
8,FWL,Wayne,33.075,Northern Montezuma,44.41,,,1997-08-11T00:00:00.000
8,FWL,Wayne,33.171,Northern Montezuma,84.75,,,1997-08-11T00:00:00.000
8,FWL,Wayne,33.088,Northern Montezuma,133.8,,,1997-08-11T00:00:00.000
8,FWL,Wayne,33.272,Northern Montezuma,141.46,,,1997-08-11T00:00:00.000
8,FWL,Wayne,33.154,Northern Montezuma,245.75,,,1997-08-11T00:00:00.000
4,TR,Schoharie,59,Long Path Corridor,3.92,,,1997-08-18T00:00:00.000
7,EX,Tompkins,42,Sra Tompkins 1,22,,,1997-08-20T00:00:00.000
4,CFP,Greene,136,Platte Clove Parking,2.33,,,1997-08-28T00:00:00.000
7,EX,Tompkins,042A,Sra Tompkins 1,5,,,1997-09-15T00:00:00.000
3,PFR,Sullivan,034.20A,North Branch Callicoon Cr,0.5,,,1997-10-01T00:00:00.000
3,PLC,Ulster,249.07,Forst,61.442,,,1997-10-16T00:00:00.000
4,WA,Otsego,41,Goodyear Lake,29.58,,,1997-10-31T00:00:00.000
2,FWL,Richmond,18,Oakwood Beach,0.647,,,1997-11-20T00:00:00.000
7,UA,Madison,63.016,Lyon,6,,,1997-12-03T00:00:00.000
8,EFP,Monroe,24.02,Oak Openings,104.85,,,1997-12-03T00:00:00.000
4,PLC,Schoharie,61,Sra Schoharie 5,6,,,1997-12-08T00:00:00.000
6,AFP,Herkimer,158A,Twitchell Lake,16.2,,,1997-12-16T00:00:00.000
1,PB,Suffolk,101.06,Dwarf Pine Plains East,25,,,1997-12-16T00:00:00.000
7,UA,Madison,63.019,Setliff,25,,,1997-12-17T00:00:00.000
8,PLC,Livingston,37,,9.7,,,1997-12-29T00:00:00.000
4,TR,Rensselaer,20.09,Taconic Ridge,97.198,,,1997-12-29T00:00:00.000
5,FWL,Clinton,31.16,Kings Bay Lake Champlain,104.92,,,1997-12-29T00:00:00.000
5,FWL,Clinton,31.17,Kings Bay Lake Champlain,134.14,,,1997-12-29T00:00:00.000
4,TR,Rensselaer,20.03,Taconic Ridge,277.76,,,1997-12-29T00:00:00.000
5,FWL,Clinton,31.07,Kings Bay Lake Champlain,34.56,,,1997-12-30T00:00:00.000
7,PLA,Broome,41,Sra Broome 3,29.4,,,1997-12-31T00:00:00.000
7,UA,Madison,63.053,Meleski,20.737,,,1998-01-26T00:00:00.000
7,UA,Madison,63.015,Barott-rosekrans,5.237,,,1998-01-29T00:00:00.000
1,PB,Suffolk,106.01B,Long Island Pine Barrens,0,,,1998-01-30T00:00:00.000
1,PB,Suffolk,106.01A,Long Island Pine Barrens,147,,,1998-01-30T00:00:00.000
9,PLB,Erie,13.03,Reinstein Woods,2,,,1998-02-03T00:00:00.000
7,UA,Madison,63.007,Lyon,82.18,,,1998-02-23T00:00:00.000
3,WA,Ulster,277,Black Creek Access,0.627,,,1998-03-05T00:00:00.000
7,WA,Oswego,99,Three Mile Bay Wma,24,,,1998-03-06T00:00:00.000
9,FWL,Cattaraugus,97.05,Conewango Creek Wetlands,0.115,,,1998-03-18T00:00:00.000
1,PB,Suffolk,97.11,Peconic East,37.2,,,1998-03-26T00:00:00.000
7,PFR,Broome,43,West Branch Delaware Riv.,3,,,1998-03-27T00:00:00.000
9,PFR,Chautauqua,69.01,Clear Creek,,,0.701,1998-03-31T00:00:00.000
9,PFR,Cattaraugus,104.01,Clear Creek,,,0.487,1998-04-06T00:00:00.000
2,GW,Richmond,16,Todt Hill/ St Francis,24.82,,,1998-04-22T00:00:00.000
9,PFR,Chautauqua,69.02,Clear Creek,,,0.076,1998-04-29T00:00:00.000
9,FWL,Chautauqua,60.03,Alder Bottom Wetlands,37.811,,,1998-05-06T00:00:00.000
6,AFE,St Lawrence,185,Massawepie Mire Complex,,3224,,1998-05-06T00:00:00.000
9,FWL,Cattaraugus,97.04,Conewango Creek Wetlands,151.99,,,1998-05-18T00:00:00.000
1,PB,Suffolk,102.02,Omnia East,0.45,,,1998-05-21T00:00:00.000
1,PB,Suffolk,93.03,Rocky Point Pine Barrens,70.3,,,1998-05-31T00:00:00.000
5,AFP/AFE,Hamilton,252.06,Headquaters Lot,80,,,1998-06-01T00:00:00.000
5,AFP/AFE,Hamilton,252.05,Fee Acquisition,14750,,,1998-06-01T00:00:00.000
1,PB,Suffolk,99.04,Brookhaven St. Pk. Add,15.65,,,1998-06-11T00:00:00.000
5,AFP,Washington,53.04,Bird,300,,,1998-06-11T00:00:00.000
8,PLC,Schuyler,33,Sra Schuyler 3,86.931,,,1998-06-25T00:00:00.000
4,UA,Albany,16.032,Albany Pine Bush,27.79,,,1998-06-29T00:00:00.000
1,PB,Suffolk,102.03,Omnia East,0.32,,,1998-06-30T00:00:00.000
1,PB,Suffolk,98.145,Manorville Pine Barrens,0.92,,,1998-06-30T00:00:00.000
1,PB,Suffolk,98.148,Manorville Pine Barrens,0.92,,,1998-06-30T00:00:00.000
1,PB,Suffolk,98.083,Manorville Pine Barrens,0.92,,,1998-06-30T00:00:00.000
1,PB,Suffolk,98.047,Manorville Pine Barrens,1.62,,,1998-06-30T00:00:00.000
1,PB,Suffolk,98.144,Manorville Pine Barrens,1.8,,,1998-06-30T00:00:00.000
1,PB,Suffolk,98.143,Manorville Pine Barrens,4.59,,,1998-06-30T00:00:00.000
9,WA,Chautauqua,68.01,Cheney Farm,10.271,,,1998-07-02T00:00:00.000
7,PLC,Broome,42,Sra Broome 3,3.17,,,1998-07-07T00:00:00.000
7,PFR,Chenango,121.01,Genegantslet Creek,0.129,,0.218,1998-07-13T00:00:00.000
5,PLA,Clinton,130,Sra Clinton 8,84,,,1998-07-13T00:00:00.000
1,PB,Suffolk,98.06,Manorville Pine Barrens,0.92,,,1998-07-14T00:00:00.000
1,PB,Suffolk,98.015,Manorville Pine Barrens,0.92,,,1998-07-14T00:00:00.000
1,PB,Suffolk,98.08,Manorville Pine Barrens,1.72,,,1998-07-14T00:00:00.000
7,PLC,Madison,75,Sra Madison 12,59.72,,,1998-07-15T00:00:00.000
1,PB,Suffolk,094.01B,Brookhaven Kettleholes,42.91,,,1998-07-16T00:00:00.000
4,TR,Rensselaer,20.13,Taconic Ridge,254.081,,,1998-07-16T00:00:00.000
1,PB,Suffolk,98.141,Manorville Pine Barrens,1.84,,,1998-07-24T00:00:00.000
1,PB,Suffolk,105.03,Toppings Path,27.41,,,1998-07-24T00:00:00.000
1,PB,Suffolk,105.01,Toppings Path,7.149,,,1998-07-27T00:00:00.000
4,TR,Rensselaer,21.01,Taconic Ridge,68,,,1998-07-28T00:00:00.000
1,PB,Suffolk,98.006,Manorville Pine Barrens,170.76,,,1998-08-03T00:00:00.000
1,PB,Suffolk,98.127,Manorville Pine Barrens,1.38,,,1998-08-13T00:00:00.000
1,PB,Suffolk,98.031,Manorville Pine Barrens,1.8,,,1998-08-13T00:00:00.000
1,PB,Suffolk,98.03,Manorville Pine Barrens,2.4,,,1998-08-13T00:00:00.000
7,FWL,Cayuga,37.212,Northern Montezuma,0,,,1998-08-19T00:00:00.000
7,FWL,Cayuga,37.199,Northern Montezuma,0,,,1998-08-19T00:00:00.000
7,FWL,Cayuga,37.188,Northern Montezuma,0,,,1998-08-19T00:00:00.000
7,FWL,Cayuga,37.19,Northern Montezuma,0,,,1998-08-19T00:00:00.000
7,FWL,Cayuga,37.186,Northern Montezuma,138,,,1998-08-19T00:00:00.000
9,TWA,Erie,29,Motor Island,11.943,,,1998-08-24T00:00:00.000
1,PB,Suffolk,95.03,Edwards Avenue,0.81,,,1998-08-25T00:00:00.000
1,PB,Suffolk,101.13,Dwarf Pine Plains East,10.153,,,1998-08-25T00:00:00.000
1,PB,Suffolk,101.11,Dwarf Pine Plains East,63.348,,,1998-08-25T00:00:00.000
6,PLC,Oneida,155.01,Rome Wma,93,,,1998-08-26T00:00:00.000
1,PB,Suffolk,98.046,Manorville Pine Barrens,0.92,,,1998-08-27T00:00:00.000
1,PB,Suffolk,98.028,Manorville Pine Barrens,0.92,,,1998-08-27T00:00:00.000
3,PFR,Sullivan,40.23,Willowemoc,,,0.001,1998-09-02T00:00:00.000
4,UA,Albany,16.034,Albany Pine Bush,10,,,1998-09-15T00:00:00.000
1,PB,Suffolk,101.12,Dwarf Pine Plains East,27.118,,,1998-09-17T00:00:00.000
8,WA,Yates,28.01,Severne Point,0.439,,,1998-09-22T00:00:00.000
1,PB,Suffolk,98.091,Manorville Pine Barrens,0.92,,,1998-09-22T00:00:00.000
1,PB,Suffolk,98.009,Manorville Pine Barrens,0.92,,,1998-09-22T00:00:00.000
1,PB,Suffolk,98.033,Manorville Pine Barrens,1.23,,,1998-09-22T00:00:00.000
1,PB,Suffolk,98.094,Manorville Pine Barrens,0.92,,,1998-09-24T00:00:00.000
1,PB,Suffolk,98.041,Manorville Pine Barrens,2.1,,,1998-09-24T00:00:00.000
1,PB,Suffolk,98.054,Manorville Pine Barrens,0.5,,,1998-10-01T00:00:00.000
1,PB,Suffolk,98.056,Manorville Pine Barrens,0.92,,,1998-10-01T00:00:00.000
1,PB,Suffolk,98.079,Manorville Pine Barrens,1.38,,,1998-10-01T00:00:00.000
4,AC,Schoharie,54.02,Sra Schoharie 3 & 9,82,,,1998-10-08T00:00:00.000
4,AC,Schoharie,54.01,Sra Schoharie 3 & 9,100,,,1998-10-08T00:00:00.000
7,PLB,Oswego,101,Happy Valley Wma,7,,,1998-10-20T00:00:00.000
1,TWL,Suffolk,76.27,Shinnecock Bay Barrier,1.02,,,1998-10-22T00:00:00.000
1,TWL,Suffolk,76.28,Shinnecock Additions,1.21,,,1998-10-22T00:00:00.000
1,PB,Suffolk,98.129,Manorville Pine Barrens,2.75,,,1998-10-22T00:00:00.000
3,PFR,Sullivan,45.33,Little Beaverkill,,,0.104,1998-10-23T00:00:00.000
7,UA,Madison,63.05,Odell,1.11,,,1998-10-26T00:00:00.000
7,UA,Madison,63.024,Murray,6,,,1998-10-26T00:00:00.000
5,AFP,Franklin,209.02,Paul Smith's Parcel 6,,1769.77,,1998-11-05T00:00:00.000
1,PB,Suffolk,98.055,Manorville Pine Barrens,0.87,,,1998-11-13T00:00:00.000
1,PB,Suffolk,98.147,Manorville Pine Barrens,0.92,,,1998-11-13T00:00:00.000
1,PB,Suffolk,98.027,Manorville Pine Barrens,1.7,,,1998-11-13T00:00:00.000
1,PB,Suffolk,98.082,Manorville Pine Barrens,1.84,,,1998-11-13T00:00:00.000
9,PFR,Cattaraugus,102.02,Mckinstry Creek,,,0.758,1998-11-24T00:00:00.000
1,PB,Suffolk,98.057,Manorville Pine Barrens,0.92,,,1998-11-25T00:00:00.000
1,PB,Suffolk,99.16,Brookhaven St. Pk. Add,2.68,,,1998-11-25T00:00:00.000
1,PB,Suffolk,102.06,Omnia East,3.06,,,1998-11-25T00:00:00.000
1,PB,Suffolk,98.036,Manorville Pine Barrens,0.92,,,1998-11-27T00:00:00.000
1,PB,Suffolk,98.04,Manorville Pine Barrens,0.92,,,1998-11-27T00:00:00.000
1,PB,Suffolk,98.075,Manorville Pine Barrens,2.06,,,1998-11-27T00:00:00.000
4,TR,Columbia,41.01,Harvey Mountain,1268,,,1998-11-30T00:00:00.000
5,AFP,Franklin,228,,2.12,,,1998-12-03T00:00:00.000
2,TWA,Richmond,12.07,Old Place Creek,49.728,,,1998-12-03T00:00:00.000
3,PFR,Ulster,187.04,West Branch Beerkill,0.082,,0.225,1998-12-04T00:00:00.000
9,FWL,Chautauqua,60.13,Alder Bottom Wetlands,150,,,1998-12-04T00:00:00.000
8,WA,Monroe,30.01,Black Creek,56.816,,,1998-12-09T00:00:00.000
4,CFP,Delaware,173B,White Pine Farm Parcel,114,,,1998-12-11T00:00:00.000
4,CFP,Delaware,173C,"D Nuckel Lumber Co, Inc",118.21,,,1998-12-11T00:00:00.000
4,CFP,Delaware,173A,,256,,,1998-12-11T00:00:00.000
9,PFR,Cattaraugus,38.23,Ischua Creek,,,0.038,1998-12-14T00:00:00.000
7,SLP,Oswego,94.05,Eastern Ontario Shoreline,0,,,1998-12-15T00:00:00.000
7,SLP,Oswego,94.04,Eastern Ontario Shoreline,0,,,1998-12-15T00:00:00.000
1,PB,Suffolk,98.087,Manorville Pine Barrens,1.38,,,1998-12-17T00:00:00.000
6,UC,Jefferson,137,Little Gallo Island,43.8,,,1998-12-22T00:00:00.000
5,AFP,Essex,412,Paradox Lake,19,,,1998-12-23T00:00:00.000
7,PLC,Cayuga,45.01,Sra Cayuga  4,50,,,1998-12-28T00:00:00.000
6,PLC,Oneida,155.03,Rome Wma,366,,,1998-12-28T00:00:00.000
1,PB,Suffolk,98.106,Manorville Pine Barrens,1.38,,,1999-01-08T00:00:00.000
1,TOJ,Suffolk,55.03,Oak Brush Plains,81.4,,,1999-01-13T00:00:00.000
7,PLC,Chenango,128,Sra Chenango 24,0.72,,,1999-01-14T00:00:00.000
4,TR,Rensselaer,20.06,Taconic Ridge,750,,,1999-01-22T00:00:00.000
3,PFR,Ulster,108.71,Esopus Creek,,,0.025,1999-01-22T00:00:00.000
3,PFR,Ulster,108.7,Esopus Creek,,,0.028,1999-01-22T00:00:00.000
6,AFE,St Lawrence,235,Long Pond Tract,,18950,,1999-02-16T00:00:00.000
9,PFR,Allegany,25.06,Little Genesee Creek,,,0.094,1999-02-22T00:00:00.000
5,PLA,Warren,175,Hudson River,1600,,,1999-02-26T00:00:00.000
6,PLA,Lewis,205,Sra Lewis 10,63.33,,,1999-03-03T00:00:00.000
3,TOJ,Orange,26,Stewart Airport Buffer,5300,,,1999-03-04T00:00:00.000
6,PLB,Oneida,147,Sra Oneida 20,0.758,,,1999-03-05T00:00:00.000
4,UA,Albany,16.029,Albany Pine Bush,6.01,,,1999-03-05T00:00:00.000
4,SCR,Greene,142.01,Bear Pen Mountain,1189.29,,,1999-03-10T00:00:00.000
7,UA,Madison,63.062,Marion,0,,,1999-03-11T00:00:00.000
7,UA,Madison,63.061,Marion,47,,,1999-03-11T00:00:00.000
7,WA,Cortland,69,Casterline Pond,10.5,,,1999-03-15T00:00:00.000
1,PB,Suffolk,98.072,Manorville Pine Barrens,1.13,,,1999-03-16T00:00:00.000
1,TWL,Suffolk,20.02,Fresh Pond,1.404,,,1999-03-16T00:00:00.000
5,PFR,Essex,218.09,Ausable River,,,0.189,1999-03-18T00:00:00.000
1,PB,Suffolk,98.149,Manorville Pine Barrens,2.75,,,1999-03-22T00:00:00.000
4,TR,Rensselaer,22.07,Taconic Ridge,1271.51,,,1999-03-22T00:00:00.000
8,PFR,Orleans,9.07,Marsh Creek,,,0.122,1999-03-22T00:00:00.000
5,AFP/AFE,Hamilton,252.07,Camp Bliss,54.88,,,1999-03-23T00:00:00.000
3,PLC,Sullivan,105,Monguap Valley Wma,1.639,,,1999-03-24T00:00:00.000
5,AFP,Hamilton,158A,Sagamore Institute,,,,1999-03-29T00:00:00.000
9,PFR,Cattaraugus,38.24,Ischua Creek,,,0.034,1999-04-06T00:00:00.000
9,PFR,Cattaraugus,38.27,Ischua Creek,,,0.074,1999-04-19T00:00:00.000
7,SLP,Oswego,94.03,Eastern Ontario Shoreline,0,,,1999-04-21T00:00:00.000
1,PB,Suffolk,98.108,Manorville Pine Barrens,1.38,,,1999-04-21T00:00:00.000
9,FWL,Niagara,7.11,Hartland Swamp Wetland,17.67,,,1999-04-21T00:00:00.000
9,PFR,Cattaraugus,38.25,Ischua Creek,,,0.129,1999-04-22T00:00:00.000
8,WA,Monroe,30.02,Black Creek Fas,0.721,,,1999-04-28T00:00:00.000
1,PB,Suffolk,097.06B,Long Island Pine Barrens,11.589,,,1999-04-30T00:00:00.000
3,CFP,Ulster,236.04,Cic,27.03,,,1999-05-10T00:00:00.000
3,CFP,Ulster,237.03,Sarlos,28.936,,,1999-05-10T00:00:00.000
3,CFP,Ulster,285,Reisser Estate,100,,,1999-05-10T00:00:00.000
1,PB,Suffolk,98.109,Manorville Pine Barrens,1.74,,,1999-05-14T00:00:00.000
9,PFR,Chautauqua,35.04,Chautauqua Creek,5.6,,,1999-05-14T00:00:00.000
9,PFR,Chautauqua,35.06,Chautauqua Creek,,,0.017,1999-05-14T00:00:00.000
1,TWL,Suffolk,64.01,Benton/ludlow Creek,125.66,,,1999-05-17T00:00:00.000
9,PFR,Cattaraugus,38.32,Ischua Creek,,,0.046,1999-05-17T00:00:00.000
7,WA,Onondaga,56.01,Clay/bayberry,19.11,,,1999-05-19T00:00:00.000
3,PFR,Sullivan,40.21,Willowemoc Creek,0.387,,,1999-05-24T00:00:00.000
9,PFR,Allegany,25.08,Little Genesee Creek,,,0.022,1999-05-24T00:00:00.000
8,PFR,Orleans,9.08,Marsh Creek,,,0.384,1999-06-07T00:00:00.000
5,AFP,Essex,409,,111.382,,,1999-06-09T00:00:00.000
9,PFR,Wyoming,10.18,Wiscoy Creek,,,0.142,1999-06-10T00:00:00.000
3,PFR,Sullivan,40.24,Willowemoc Creek,,,0.012,1999-06-14T00:00:00.000
5,WA,Warren,179,Lens Lake Dam,,,,1999-06-24T00:00:00.000
4,CFP,Greene,160.01,,23.23,,,1999-06-28T00:00:00.000
1,PB,Suffolk,98.043,Manorville Pine Barrens,0.92,,,1999-06-30T00:00:00.000
1,PB,Suffolk,98.044,Manorville Pine Barrens,1.83,,,1999-06-30T00:00:00.000
1,PB,Suffolk,98.039,Manorville Pine Barrens,2.75,,,1999-06-30T00:00:00.000
6,AFP,Herkimer,130,Croghan Tract,348,,,1999-07-01T00:00:00.000
6,AFP,Herkimer,128,Croghan Tract,1103,,,1999-07-01T00:00:00.000
6,AFP,Lewis,207A,Champion/fee,1805,,,1999-07-01T00:00:00.000
6,AFP,St Lawrence,239A,Tooley Pond Tr/fee,5918,,,1999-07-01T00:00:00.000
6,AFP,Lewis,207B,Champion/ce,,12929,,1999-07-01T00:00:00.000
6,AFP,St Lawrence,246B,Champion,,13494,,1999-07-01T00:00:00.000
6,AFP,St Lawrence,239B,Tooley Pond Tr/ce,,23440,,1999-07-01T00:00:00.000
5,AFP/AFE,Franklin,231B,Champion,,59120,,1999-07-01T00:00:00.000
9,PFR,Cattaraugus,38.29,Ischua Creek,,,0.174,1999-07-01T00:00:00.000
6,AFP,St Lawrence,239,Champion,,,,1999-07-01T00:00:00.000
1,PB,Suffolk,98.124,Manorville Pine Barrens,0.92,,,1999-07-02T00:00:00.000
5,AFP/AFE,Franklin,231A,Champion,19460,,,1999-07-02T00:00:00.000
1,PB,Suffolk,98.11,Manorville Pine Barrens,0.92,,,1999-07-08T00:00:00.000
6,UA,Oneida,124.21,Rome Sand Plains,1.1,,,1999-07-08T00:00:00.000
9,PFR,Cattaraugus,38.28,Ischua Creek,,,0.295,1999-07-09T00:00:00.000
9,PFR,Cattaraugus,106.01,Mansfield Creek,,,0.407,1999-07-09T00:00:00.000
3,CFP,Ulster,235.01,Mongaup Mountain,308.54,,,1999-07-16T00:00:00.000
9,PFR,Cattaraugus,104.02,Clear Creek,,,0.132,1999-07-16T00:00:00.000
7,TR,Chenango,120.06,Genny Green Trail,1,,,1999-07-23T00:00:00.000
5,PFR,Clinton,64.04,Ausable River,,,0.119,1999-07-23T00:00:00.000
6,PFR,Jefferson,78.09,Lindsey Creek,0.288,,0.971,1999-07-26T00:00:00.000
4,TR,Columbia,41.02,Sra Columbia 3,315,,,1999-07-27T00:00:00.000
9,PFR,Allegany,62.02,California Hollow Brook,,,0.094,1999-07-28T00:00:00.000
8,FWL,Wayne,33.184,Northern Montezema,192.76,,,1999-07-29T00:00:00.000
4,FWL,Schoharie,39.33,Franklinton Vlaie,6.818,,,1999-08-04T00:00:00.000
3,PFR,Sullivan,34.34,N Br Callicoon Creek,,,0.213,1999-08-05T00:00:00.000
3,PFR,Ulster,209.04,Woodland Valley Stream,2.491,,0.001,1999-08-06T00:00:00.000
9,PFR,Chautauqua,35.05,Chautauqua Creek,,,0.379,1999-08-10T00:00:00.000
9,FWL,Chautauqua,60.15,Alder Bottom Wetlands,25,,,1999-08-12T00:00:00.000
1,PB,Suffolk,98.016,Manorville Pine Barrens,0.92,,,1999-08-13T00:00:00.000
9,PFR,Allegany,62.01,California Hollow Brook,,,0.597,1999-08-13T00:00:00.000
3,PFR,Ulster,108.73,Esopus  Creek,,,0.057,1999-08-20T00:00:00.000
5,AFP/AFE,Hamilton,299.01,Eagle Nest (fee),203.8,,,1999-08-23T00:00:00.000
9,PFR,Cattaraugus,38.26,Ischua Creek,,,0.037,1999-08-23T00:00:00.000
6,UA,Oneida,124.12A,Rome Sand Plains,111,,,1999-08-24T00:00:00.000
7,PLB,Oswego,26.28,Riggs,116.89,,,1999-08-31T00:00:00.000
6,UA,Oneida,124.05,Rome Sand Plains,3.95,,,1999-09-14T00:00:00.000
1,PB,Suffolk,98.077,Manorville Pine Barrens,2.75,,,1999-09-21T00:00:00.000
6,PFR,Jefferson,78.1,Lindsey Creek,,,0.603,1999-09-21T00:00:00.000
7,EX,Oswego,98,Oneida Fish Hatchery,0.014,,,1999-09-22T00:00:00.000
6,UA,Oneida,124.32,Rome Sand Plains,2.3,,,1999-09-28T00:00:00.000
1,PB,Suffolk,109,Otis G. Pike Preserve,3000,,,1999-09-28T00:00:00.000
5,WH,Clinton,131,Imperial Dam Fish Ladder,4.8,,,1999-09-29T00:00:00.000
6,PLC,Jefferson,129,Sra Jefferson 3,1.575,,,1999-10-12T00:00:00.000
1,PB,Suffolk,98.158,Manorville Pine Barrens,0.28,,,1999-10-14T00:00:00.000
1,PB,Suffolk,98.045,Manorville Pine Barrens,0.92,,,1999-10-14T00:00:00.000
6,UA,Oneida,124.24,Rome Sand Plains,51.97,,,1999-10-15T00:00:00.000
6,UA,Oneida,124.23,Rome Sand Plains,79.19,,,1999-10-15T00:00:00.000
3,CFP,Ulster,283,Rene Dupre Property,0.95,,,1999-10-18T00:00:00.000
9,PFR,Wyoming,10.16,Wiscoy Creek,,,0.012,1999-10-21T00:00:00.000
3,CFP,Ulster,254,William Morris Property,30.18,,,1999-10-25T00:00:00.000
3,PFR,Ulster,108.75,Esopus Creek,,,0.182,1999-10-25T00:00:00.000
6,PLC,Oneida,155.02,Rome Wma,108,,,1999-10-27T00:00:00.000
7,PLA,Chenango,129,Sra Chenango 22,15.83,,,1999-10-28T00:00:00.000
9,FWL,Cattaraugus,97.07,Conewango Creek Wetlands,116.28,,,1999-10-29T00:00:00.000
6,UA,Oneida,124.39,Rome Sand Plains,4.5,,,1999-11-03T00:00:00.000
1,PB,Suffolk,98.062,Manorville Pine Barrens,0.73,,,1999-11-04T00:00:00.000
4,UA,Albany,16.035,Albany Pine Bush,121.85,,,1999-11-04T00:00:00.000
7,GW,Oswego,95.24,Lord & Winn,317.59,,,1999-11-05T00:00:00.000
1,PB,Suffolk,98.133,Manorville Pine Barrens,0.28,,,1999-11-09T00:00:00.000
9,PLB,Erie,13.04,Reinstein Woods Addition,2.49,,,1999-11-15T00:00:00.000
1,PB,Suffolk,98.118,Manorville Pine Barrens,1.84,,,1999-11-16T00:00:00.000
6,PFR,Oneida,078.02A,West Branch Fish Creek,,,,1999-11-17T00:00:00.000
9,PFR,Cattaraugus,82.11,Cattaraugus Creek,,,0.025,1999-11-18T00:00:00.000
3,PLC,Dutchess,50,Stissing Mountain Mu,5,,,1999-11-19T00:00:00.000
1,PB,Suffolk,99.09,Brookhaven St. Pk. Add,5.16,,,1999-11-23T00:00:00.000
1,PB,Suffolk,98.025,Manorville Pine Barrens,1.33,,,1999-11-26T00:00:00.000
6,PLA,Lewis,204,Sra Lewis 34,200,,,1999-11-29T00:00:00.000
5,AFP,Washington,70,Flat Rock Camp Shoreline,242,,,1999-11-30T00:00:00.000
6,UA,Oneida,124.38,Rome Sand Plains,0.93,,,1999-12-13T00:00:00.000
6,UA,Oneida,124.41,Rome Sand Plains,8.3,,,1999-12-14T00:00:00.000
3,WL,Dutchess,52,Sra Dutchess 7,819.2,,,1999-12-14T00:00:00.000
1,PB,Suffolk,108.01A,Long Island Pine Barrens,4.6,,,1999-12-16T00:00:00.000
1,PB,Suffolk,108.01B,Long Island Pine Barrens,6,,,1999-12-16T00:00:00.000
8,PFR,Orleans,9.09,Marsh Creek,,,0.016,1999-12-20T00:00:00.000
3,PFR,Ulster,108.67,Esopus Creek,1.762,,,1999-12-21T00:00:00.000
1,PB,Suffolk,110.04,Long Island Pine Barrens,153.852,,,1999-12-21T00:00:00.000
4,TR,Rensselaer,22.02,Taconic Ridge,344.14,3174.56,,1999-12-21T00:00:00.000
4,WL,Delaware,140,Tomannex,998.78,,,1999-12-21T00:00:00.000
4,WL,Delaware,148,Sra Delaware 14,1279.42,,,1999-12-21T00:00:00.000
9,PFR,Cattaraugus,106.02,Mansfield Creek ( Upper ),,,0.65,1999-12-21T00:00:00.000
6,UA,Oneida,124.44,Rome Sand Plains,3.27,,,1999-12-28T00:00:00.000
6,AFP/AFE,St Lawrence,236.01,Racquette River Corriror,1122,,,1999-12-28T00:00:00.000
6,PLC,St Lawrence,237.01,Sra St. Lawrence 20,,2234,,1999-12-28T00:00:00.000
5,AFP/AFE,Hamilton,299.02,Eagle Nest (ce),,140,,1999-12-30T00:00:00.000
2,TWL,Richmond,009.01A,Mt Loretto,71.638,,,2000-01-05T00:00:00.000
6,PLA,St Lawrence,230A,Sra St. Lawrence 18,2.32,,,2000-01-19T00:00:00.000
6,UA,Oneida,124.42,Rome Sand Plains,2.3,,,2000-01-22T00:00:00.000
7,UA,Madison,63.006,Lyon,17.16,,,2000-01-28T00:00:00.000
7,UA,Madison,063.006A,Lyon,,,,2000-01-28T00:00:00.000
9,TR,Allegany,58.01,Genesee Valley Canal,-388.99,,,2000-02-02T00:00:00.000
9,TR,Wyoming,16.01,Genesee Valley Canal,-65.24,,,2000-02-02T00:00:00.000
8,TR,Livingston,35.01,Genesee Valley Canal,0,,,2000-02-02T00:00:00.000
9,EX,Cattaraugus,100.01,Genesee Valley Canal,-12.64,,,2000-02-07T00:00:00.000
1,PB,Suffolk,102.07,Omnia East,0.46,,,2000-02-08T00:00:00.000
1,PB,Suffolk,98.081,Manorville Pine Barrens,0.92,,,2000-02-08T00:00:00.000
1,PB,Suffolk,108.09A,Long Island Pine Barrens,2.24,,,2000-02-08T00:00:00.000
4,PLB,Schoharie,56,Long Path,61.42,,,2000-02-08T00:00:00.000
5,AFP,Warren,176,Tongue Mountain,85.1,,,2000-02-09T00:00:00.000
5,PFR,Essex,218.1,Ausable River,,,0.787,2000-02-16T00:00:00.000
9,PFR,Erie,4.01,Hosmer Brook,,,0.018,2000-02-18T00:00:00.000
1,PB,Suffolk,99.12,Brookhaven St. Pk. Add,1.04,,,2000-02-22T00:00:00.000
9,PFR,Allegany,36.09,Genesee River,,,0.083,2000-02-24T00:00:00.000
3,CFP,Sullivan,107,Thomas Cole Property,412.6,,,2000-02-25T00:00:00.000
2,FWL,Richmond,20,Arden Heights Woods,5.057,,,2000-02-29T00:00:00.000
1,PB,Suffolk,99.15,Brookhaven St. Pk. Add,1.5,,,2000-03-01T00:00:00.000
