DEC Region,Land Acquisition Category,County,Project Number,Project Name (Alias),Acres (Fee),Acres (Conservation Easement),Equivalent Stream Miles,Deed Vesting Date
7,EX,Chenango,116.02,Sra Chenango #29,-0.52,,,1993-05-20T00:00:00.000
6,IWA,Lewis,200,Black River,9.5,,,1993-05-21T00:00:00.000
9,FWL,Cattaraugus,97.03,Conewango Creek Wetlands,184,,,1993-05-25T00:00:00.000
8,AC,Chemung,15,Sra Chemung 1,0.076,,,1993-06-22T00:00:00.000
6,AFP,Herkimer,159,Pigeon Lake Wilderness,0.78,,,1993-07-01T00:00:00.000
4,PFR,Otsego,23.05,Butternut Creek,,,1.194,1993-07-01T00:00:00.000
4,PFR,Otsego,23.03,Butternut Creek,,,0.301,1993-07-12T00:00:00.000
6,AFP,Herkimer,132,Black River Wild Forest,131.7,,,1993-07-29T00:00:00.000
9,PFR,Cattaraugus,38.17,Ischua Creek,,,0.35,1993-08-03T00:00:00.000
4,FWL,Schoharie,39.11,Franklinton Vlaie,20.04,,,1993-08-08T00:00:00.000
5,AFP,Franklin,209.07,Paul Smith's Parcel 11-b,,651.01,,1993-08-14T00:00:00.000
5,AFP,Franklin,209.01,Paul Smith's Parcel 8,,2018,,1993-08-19T00:00:00.000
7,AC,Madison,81,Sra Madison 5 - Pro Ff,1.135,,,1993-08-25T00:00:00.000
3,PFR,Dutchess,8.01,Wappinger Creek,2.23,,,1993-08-31T00:00:00.000
8,PFR,Chemung,006.34A,Catherine Creek,2.946,,,1993-09-10T00:00:00.000
5,AFP,Franklin,209.16,Paul Smith's Parcel E,554.57,,,1993-09-14T00:00:00.000
4,CFP,Delaware,128,Huggins Pond,0.11,,,1993-09-23T00:00:00.000
5,AFP,Franklin,209.09,Monteau Parcel,,171.64,,1993-09-23T00:00:00.000
3,PFR,Dutchess,8.004,Wappinger Creek,,,0.076,1993-10-04T00:00:00.000
3,PFR,Dutchess,8.006,Wappinger Creek,,,0.111,1993-10-04T00:00:00.000
6,PLC,Herkimer,160.02,Sra Herkimer 1,0.25,,,1993-11-03T00:00:00.000
6,PLC,Herkimer,160.03,Sra Herkimer 1,2,,,1993-11-03T00:00:00.000
6,PLC,Herkimer,160.01,Sra Herkimer 1,7.06,,,1993-11-03T00:00:00.000
3,PFR,Sullivan,40.2,Willowemoc Creek,0.117,,,1993-11-10T00:00:00.000
6,AFE,St Lawrence,118,,621,,,1993-11-30T00:00:00.000
5,AFP,Franklin,209.06,Paul Smith's Parcel 7,,800,,1993-12-01T00:00:00.000
9,IWA,Chautauqua,66.02,Dunkirk Fas/pfr,,0.5,,1993-12-03T00:00:00.000
5,AFP,Franklin,209.13,Paul Smith's Parcel K,555.4,,,1993-12-17T00:00:00.000
6,AC,St Lawrence,216.01,Sra St. Lawrence 9,9,,,1993-12-20T00:00:00.000
8,FWL,Wayne,33.151,Northern Montezuma,52.65,,,1993-12-20T00:00:00.000
6,AFP,St Lawrence,149.1,Massawepie Mire Complex,,3885.65,,1993-12-20T00:00:00.000
5,AFP/AFE,Hamilton,252.01,Canoe Carry West,179.08,,,1993-12-27T00:00:00.000
6,AFP,St Lawrence,149.4,Massawepie Mire Complex,1101.61,,,1993-12-27T00:00:00.000
5,AFP/AFE,Hamilton,252.03,Camp Togus,,234.4,,1993-12-27T00:00:00.000
5,AFP,Franklin,209.11,Paul Smith's Parcel 11a-1,,256.4,,1993-12-28T00:00:00.000
6,AC,St Lawrence,223,Sra St. Lawrence 6,17.5,,,1993-12-29T00:00:00.000
7,PFR,Oswego,61.08,Salmon River Corridor,1.146,,,1993-12-30T00:00:00.000
7,PFR,Oswego,61.09,Salmon River Corridor,1.206,,,1993-12-30T00:00:00.000
7,PFR,Oswego,61.11,Salmon River Corridor,1.257,,,1993-12-30T00:00:00.000
7,PFR,Oswego,61.1,Salmon River Corridor,1.328,,,1993-12-30T00:00:00.000
7,PFR,Oswego,61.05,Salmon River Corridor,1.69,,,1993-12-30T00:00:00.000
7,PFR,Oswego,61.06,Salmon River Corridor,1.87,,,1993-12-30T00:00:00.000
8,PFR,Orleans,61.12,Salmon River Corridor,2.409,,,1993-12-30T00:00:00.000
7,PFR,Oswego,61.07,Salmon River Corridor,4.459,,,1993-12-30T00:00:00.000
7,GW,Oswego,95.07,Salmon River Corridor,15,,,1993-12-30T00:00:00.000
7,GW,Oswego,95.01,Salmon River Corridor,42,,,1993-12-30T00:00:00.000
7,GW,Oswego,95.02,Salmon River Corridor,98,,,1993-12-30T00:00:00.000
7,GW,Oswego,95.04,Salmon River Corridor,105,,,1993-12-30T00:00:00.000
7,GW,Oswego,95.08,Salmon River Corridor,112.45,,,1993-12-30T00:00:00.000
7,GW,Oswego,95.03,Salmon River Corridor,1380,,,1993-12-30T00:00:00.000
7,GW,Oswego,95.05,Salmon River Corridor,,44,,1993-12-30T00:00:00.000
7,GW,Oswego,95.06,Salmon River Corridor,,68,,1993-12-30T00:00:00.000
7,GW,Oswego,95.09,Salmon River Corridor,,947.35,,1993-12-30T00:00:00.000
7,PFR,Oswego,61.03,Salmon River,,,12.159,1993-12-30T00:00:00.000
7,PFR,Oswego,61.13,Salmon River Corridor,,,,1993-12-30T00:00:00.000
7,PFR,Oswego,61.14,Salmon River Corridor,,,,1993-12-30T00:00:00.000
7,PFR,Oswego,61.15,Salmon River Corridor,,,,1993-12-30T00:00:00.000
6,AC,St Lawrence,218,Sra S.l. 22,23.53,,,1994-01-06T00:00:00.000
8,FWL,Wayne,33.275,Northern Montezuma,17.6,,,1994-01-12T00:00:00.000
9,PFR,Erie,10.02,Eighteen Mile Creek,,,0.341,1994-02-01T00:00:00.000
6,AC,St Lawrence,216.02,Sra St. Lawrence 9,1,,,1994-02-08T00:00:00.000
6,AC,St Lawrence,170,St Larence Sra 34,138,,,1994-02-16T00:00:00.000
9,IWA,Chautauqua,66.01,Dunkirk Fas/pfr,,0.5,,1994-02-25T00:00:00.000
8,FWL,Wayne,33.123,Northern Montezuma,56.32,,,1994-03-11T00:00:00.000
8,EX,Steuben,55,Sra Steuben-schuyler 1,1.23,,,1994-04-11T00:00:00.000
3,IWA,Ulster,257,Wallkill River/bls,5.44,,,1994-04-12T00:00:00.000
6,AC,St Lawrence,228,Sra St. Lawrence 36,320.21,,,1994-04-14T00:00:00.000
5,AFP,Franklin,209.05,Paul Smith's Parcel 5-2,,154.92,,1994-04-28T00:00:00.000
5,AFP,Franklin,222,Spit Fire Lake,2.2,,,1994-06-21T00:00:00.000
5,AFP,Franklin,209.08,Paul Smith's Parcel 16-1,,334.57,,1994-07-22T00:00:00.000
9,FWL,Chautauqua,56.07,Jamestown City Of,0.5,,,1994-08-09T00:00:00.000
9,FWL,Chautauqua,56.09,Jamestown City Of,,,,1994-08-09T00:00:00.000
7,FWL,Onondaga,51,Cicero Swamp,361,,,1994-08-16T00:00:00.000
5,AFP,Washington,53.05,Eitt,8,,,1994-08-24T00:00:00.000
5,AFP,Hamilton,186,Forest Legacy Project,,158.33,,1994-08-24T00:00:00.000
7,FWL,Cayuga,37.084,Northern Montezuma,9.48,,,1994-08-25T00:00:00.000
9,IWA,Chautauqua,63,Lake Erie Access,3.29,,,1994-09-01T00:00:00.000
5,AFP,Clinton,125,Chazy River,0.06,,,1994-09-19T00:00:00.000
3,PFR,Dutchess,8.009,Wappinger Creek,,,0.047,1994-09-19T00:00:00.000
3,Q-SR,Dutchess,36.02,Roeliff Jansen Kill,,,0.398,1994-10-06T00:00:00.000
5,AFP,Warren,128,Big Hollow Road,77,,,1994-10-27T00:00:00.000
4,Q-AC,Schoharie,43,Ritchie Parcel,156.43,,,1994-10-28T00:00:00.000
2,TWL,Richmond,12.02,Harbor Herons,21.877,,,1994-11-01T00:00:00.000
7,FWL,Cayuga,37.165,Northern Montezuma,6,,,1994-11-14T00:00:00.000
6,AC,Lewis,196,Sra Lewis #19,101.57,,,1994-11-23T00:00:00.000
5,Q-SR,Essex,42.02,East Branch Ausable River,,,0.046,1994-11-23T00:00:00.000
6,AFP,Herkimer,158,Twitchell Lake,16.2,,,1994-12-08T00:00:00.000
7,FWL,Cayuga,37.004,Northern Montezuma,11,,,1994-12-13T00:00:00.000
1,TOJ,Suffolk,055.01A,Multi-town,48.144,,,1994-12-14T00:00:00.000
5,AFP,Washington,53.01,Morgan,168.4,,,1994-12-16T00:00:00.000
3,CFP,Ulster,272,,63.664,,,1994-12-21T00:00:00.000
8,FWL,Steuben,60,Taylor Wetlands,67.754,,,1994-12-27T00:00:00.000
9,FWL,Niagara,14.01,Tonawanda,85.5,,,1994-12-28T00:00:00.000
3,PFR,Dutchess,8.007,Wappinger Creek,,,0.227,1994-12-29T00:00:00.000
4,UA,Albany,16.028,Albany Pine Bush,87.76,,,1994-12-29T00:00:00.000
3,CFP,Ulster,253,,0.056,,,1994-12-30T00:00:00.000
5,AFP,Essex,402,Webb Royce Swamp,109.09,,,1994-12-30T00:00:00.000
5,AFP,Essex,271.02,Lake Champlain Palisades,1821,,,1995-01-09T00:00:00.000
4,PFR,Rensselaer,26,Wynatskill Creek,,,,1995-01-13T00:00:00.000
8,FWL,Wayne,33.066,Northern Montezuma,52.85,,,1995-01-24T00:00:00.000
7,FWL,Cayuga,37.082,Northern Montezuma,75,,,1995-02-08T00:00:00.000
1,PB,Suffolk,98.001,Manorville Pine Barrens,146.6,,,1995-03-15T00:00:00.000
4,TR,Rensselaer,20.05,Snow Hole,428.65,,,1995-03-22T00:00:00.000
1,PB,Suffolk,104,Flanders Assoc,141.09,,,1995-03-28T00:00:00.000
7,IWA,Tompkins,16.02,Myers Point,10.41,,,1995-04-17T00:00:00.000
6,AC,St Lawrence,232,Fish Creek Wma,0.33,,,1995-04-19T00:00:00.000
7,AC,Oswego,92,Sra Oswego 11,8.45,,,1995-04-24T00:00:00.000
8,FWL,Wayne,33.145,Northern Montezuma,42.507,,,1995-04-27T00:00:00.000
8,FWL,Wayne,33.137,Northern Montezuma,43.7,,,1995-04-27T00:00:00.000
8,FWL,Wayne,33.072,Northern Montezuma,118.44,,,1995-04-28T00:00:00.000
1,E-OS,Nassau,007B,Boegner Estate,31.8,,,1995-05-01T00:00:00.000
6,FWL,Jefferson,54.18,Perch River Wma,452.53,,,1995-05-02T00:00:00.000
7,TOJ,Onondaga,52,Split Rock Gulf,29,,,1995-05-05T00:00:00.000
6,AFP,St Lawrence,162.01,Aldrich Pond Wild Forest,378.42,,,1995-05-10T00:00:00.000
8,FWL,Wayne,33.149,Northern Montezuma,38.75,,,1995-05-22T00:00:00.000
3,CFP,Ulster,141.09A,Overlook Mountain,,,,1995-05-25T00:00:00.000
6,AFP,Herkimer,161,Black River,106.8,,,1995-06-02T00:00:00.000
6,AFP,St Lawrence,213.02,Massawepie Mire Complex,1.25,,,1995-06-19T00:00:00.000
6,AFP,St Lawrence,213.01,Massawepie Mire Complex,102,,,1995-06-19T00:00:00.000
9,FWL,Chautauqua,60.04,Alder Bottom Wetlands,40.62,,,1995-06-20T00:00:00.000
7,EFC,Chenango,90,Jam Pond,14,,,1995-06-22T00:00:00.000
