,cmplnt_num,cmplnt_fr_dt,cmplnt_fr_tm,addr_pct_cd,rpt_dt,ky_cd,ofns_desc,pd_cd,pd_desc,crm_atpt_cptd_cd,law_cat_cd,boro_nm,loc_of_occur_desc,prem_typ_desc,juris_desc,jurisdiction_code,hadevelopt,housing_psa,x_coord_cd,y_coord_cd,susp_age_group,susp_race,susp_sex,latitude,longitude,lat_lon,patrol_boro,vic_age_group,vic_race,vic_sex,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,cmplnt_to_dt,cmplnt_to_tm,parks_nm,transit_district,station_name
488,862937690,2012-10-10T00:00:00.000,10:30:00,103,2012-10-10T00:00:00.000,359,OFFENSES AGAINST PUBLIC ADMINI,759.0,"PUBLIC ADMINISTATION,UNCLASS M",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0.0,,NA,1050204.0,198411.0,,,,40.711031515,-73.762101806,"{'latitude': '40.711031515', 'longitude': '-73.762101806'}",PATROL BORO QUEENS SOUTH,25-44,WHITE,M,24332.0,41.0,3.0,6.0,61.0,,,NA,,
489,568176278,2017-12-23T00:00:00.000,13:30:00,13,2017-12-26T00:00:00.000,107,BURGLARY,214.0,"BURGLARY,COMMERCIAL,UNKNOWN TI",COMPLETED,FELONY,MANHATTAN,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0.0,,NA,986358.0,211072.0,,,,40.746028438,-73.992393794,"{'latitude': '40.746028438', 'longitude': '-73.992393794'}",PATROL BORO MAN SOUTH,UNKNOWN,UNKNOWN,D,11722.0,11.0,4.0,10.0,7.0,2017-12-26T00:00:00.000,07:30:00,,,
490,613530742,2017-04-01T00:00:00.000,18:00:00,9,2017-04-03T00:00:00.000,107,BURGLARY,224.0,"BURGLARY,RESIDENCE,UNKNOWN TIM",ATTEMPTED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,NA,988650.0,202744.0,UNKNOWN,UNKNOWN,U,40.723169283,-73.984127538,"{'latitude': '40.723169283', 'longitude': '-73.984127538'}",PATROL BORO MAN SOUTH,25-44,WHITE,F,11729.0,70.0,4.0,50.0,5.0,2017-04-03T00:00:00.000,14:00:00,,,
491,431928712,2014-11-26T00:00:00.000,21:30:00,45,2014-11-28T00:00:00.000,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BRONX,FRONT OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0.0,,NA,1033570.0,245169.0,,WHITE,M,40.839478039,-73.82175817,"{'latitude': '40.839478039', 'longitude': '-73.82175817'}",PATROL BORO BRONX,65+,WHITE,F,11274.0,43.0,5.0,12.0,28.0,2014-11-26T00:00:00.000,21:40:00,,,
492,165143494,2016-07-29T00:00:00.000,22:00:00,30,2016-07-30T00:00:00.000,121,CRIMINAL MISCHIEF & RELATED OF,267.0,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,MANHATTAN,,STREET,N.Y. POLICE DEPT,0.0,,NA,996334.0,239155.0,25-44,WHITE HISPANIC,M,40.823100787,-73.956340456,"{'latitude': '40.823100787', 'longitude': '-73.956340456'}",PATROL BORO MAN NORTH,25-44,WHITE,F,12428.0,37.0,4.0,23.0,19.0,2016-07-29T00:00:00.000,22:26:00,,,
493,846000802,2012-09-03T00:00:00.000,14:20:00,84,2012-09-03T00:00:00.000,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",ATTEMPTED,MISDEMEANOR,BROOKLYN,FRONT OF,DEPARTMENT STORE,N.Y. POLICE DEPT,0.0,,NA,987640.0,191257.0,,,,40.691640621,-73.987777103,"{'latitude': '40.691640621', 'longitude': '-73.987777103'}",PATROL BORO BKLYN NORTH,,UNKNOWN,D,16865.0,68.0,2.0,38.0,54.0,2012-09-03T00:00:00.000,14:57:00,NA,,
494,721576175,2014-08-03T00:00:00.000,23:00:00,46,2014-08-04T00:00:00.000,351,CRIMINAL MISCHIEF & RELATED OF,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0.0,,NA,1010196.0,249872.0,45-64,BLACK,M,40.852485992,-73.906213897,"{'latitude': '40.852485992', 'longitude': '-73.906213897'}",PATROL BORO BRONX,45-64,UNKNOWN,F,10931.0,6.0,5.0,29.0,29.0,2014-08-03T00:00:00.000,23:55:00,,,
495,876952725,2015-02-24T00:00:00.000,19:40:00,48,2015-02-24T00:00:00.000,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0.0,,NA,1012924.0,250164.0,25-44,WHITE HISPANIC,M,40.853279007,-73.896351697,"{'latitude': '40.853279007', 'longitude': '-73.896351697'}",PATROL BORO BRONX,25-44,WHITE HISPANIC,F,10935.0,35.0,5.0,22.0,31.0,2015-02-24T00:00:00.000,19:45:00,,,
496,103313157,2017-12-18T00:00:00.000,09:00:00,46,2017-12-18T00:00:00.000,341,PETIT LARCENY,339.0,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,BRONX,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1.0,,NA,1012539.0,253107.0,,,,40.861357899,-73.897730961,"{'latitude': '40.861357899', 'longitude': '-73.897730961'}",PATROL BORO BRONX,45-64,BLACK,M,10936.0,6.0,5.0,22.0,29.0,2017-12-18T00:00:00.000,09:20:00,,11.0,FORDHAM ROAD
497,294804364,2013-11-13T00:00:00.000,13:45:00,113,2013-11-13T00:00:00.000,113,FORGERY,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,QUEENS,,STREET,N.Y. POLICE DEPT,0.0,,NA,1051318.0,188591.0,,,,40.684069625,-73.75818135,"{'latitude': '40.684069625', 'longitude': '-73.75818135'}",PATROL BORO QUEENS SOUTH,,UNKNOWN,E,15313.0,41.0,3.0,6.0,71.0,,,NA,,
498,899207230,2017-03-16T00:00:00.000,10:30:00,6,2017-03-16T00:00:00.000,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0.0,,NA,983530.0,208543.0,25-44,BLACK,M,40.739087184,-74.002599617,"{'latitude': '40.739087184', 'longitude': '-74.002599617'}",PATROL BORO MAN SOUTH,UNKNOWN,UNKNOWN,D,12077.0,57.0,4.0,10.0,3.0,2017-03-16T00:00:00.000,10:45:00,,,
